SUMLEV,STATE,COUNTY,PLACE,COUSUB,CONCIT,PRIMGEO_FLAG,FUNCSTAT,NAME,STNAME,CENSUS2010POP,ESTIMATESBASE2010,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,POPESTIMATE2013,POPESTIMATE2014,POPESTIMATE2015,POPESTIMATE2016,POPESTIMATE2017,POPESTIMATE2018,POPESTIMATE2019,POPESTIMATE042020,POPESTIMATE2020
040,08,000,00000,00000,00000,0,A,Colorado,Colorado,5029196,5029319,5047539,5121900,5193660,5270774,5352637,5454328,5543844,5617421,5697155,5758486,5798266,5807719
162,08,000,00760,00000,00000,0,A,Aguilar town,Colorado,538,536,533,516,512,484,469,469,470,475,483,480,480,479
162,08,000,00925,00000,00000,0,A,Akron town,Colorado,1702,1695,1698,1678,1654,1667,1660,1675,1689,1713,1689,1683,1679,1682
162,08,000,01090,00000,00000,0,A,Alamosa city,Colorado,8780,8865,8907,9021,9020,9064,9126,9175,9246,9295,9384,9386,9394,9367
162,08,000,01530,00000,00000,0,A,Alma town,Colorado,270,274,275,275,276,280,285,293,305,317,327,330,329,329
162,08,000,02355,00000,00000,0,A,Antonito town,Colorado,781,781,786,787,782,776,779,762,758,766,763,760,755,752
162,08,000,03235,00000,00000,0,A,Arriba town,Colorado,193,193,193,192,193,193,196,197,202,202,203,206,207,206
162,08,000,03455,00000,00000,0,A,Arvada city,Colorado,106433,106759,106943,108093,109531,111105,113116,115337,116865,119220,121057,122051,122024,121936
162,08,000,03620,00000,00000,0,A,Aspen city,Colorado,6658,6795,6800,6814,6875,6950,7104,7455,7734,7756,7776,7694,7663,7657
162,08,000,03950,00000,00000,0,A,Ault town,Colorado,1519,1527,1534,1560,1585,1619,1670,1723,1821,1912,1973,1988,2092,2126
162,08,000,04000,00000,00000,0,A,Aurora city,Colorado,325078,324976,327884,334946,341732,349396,356076,364655,369952,373773,380645,385623,387165,387377
162,08,000,04110,00000,00000,0,A,Avon town,Colorado,6447,6399,6386,6375,6416,6491,6543,6597,6676,6695,6606,6632,6880,6952
162,08,000,04935,00000,00000,0,A,Basalt town,Colorado,3857,3780,3776,3775,3794,3826,3860,3875,3893,4009,4061,4192,4186,4183
162,08,000,05265,00000,00000,0,A,Bayfield town,Colorado,2333,2316,2319,2334,2352,2390,2437,2485,2530,2526,2570,2580,2586,2586
162,08,000,06090,00000,00000,0,A,Bennett town,Colorado,2308,2300,2308,2344,2381,2416,2446,2476,2491,2497,2564,2877,2984,3017
162,08,000,06255,00000,00000,0,A,Berthoud town,Colorado,5105,5198,5215,5309,5404,5540,5958,6226,6491,7180,8273,9583,10508,10806
162,08,000,06530,00000,00000,0,A,Bethune town,Colorado,237,237,237,240,239,236,237,235,234,234,238,237,236,235
162,08,000,07025,00000,00000,0,A,Black Hawk city,Colorado,118,118,118,118,118,120,125,126,128,129,131,132,132,131
162,08,000,07190,00000,00000,0,A,Blanca town,Colorado,385,385,384,395,390,381,386,385,398,405,408,413,411,407
162,08,000,07410,00000,00000,0,A,Blue River town,Colorado,849,849,851,851,862,874,887,905,926,939,933,939,931,928
162,08,000,07571,00000,00000,0,A,Bonanza town,Colorado,16,16,16,17,17,17,17,17,18,19,20,20,21,21
162,08,000,07795,00000,00000,0,A,Boone town,Colorado,339,346,346,349,349,351,350,355,360,364,366,369,373,373
162,08,000,07850,00000,00000,0,A,Boulder city,Colorado,97385,97613,97724,99533,101336,102830,103798,106780,108158,109118,109069,107703,107808,107645
162,08,000,08070,00000,00000,0,A,Bow Mar town,Colorado,866,849,848,860,874,891,911,932,961,957,963,957,951,947
162,08,000,08345,00000,00000,0,A,Branson town,Colorado,74,74,73,71,72,68,67,67,67,68,69,70,72,72
162,08,000,08400,00000,00000,0,A,Breckenridge town,Colorado,4540,4541,4555,4551,4604,4684,4772,4904,4986,5017,5033,5040,4973,4954
162,08,000,08675,00000,00000,0,A,Brighton city,Colorado,33352,33840,33975,34675,35268,35771,36348,37395,38205,38582,39231,39850,40577,40783
162,08,000,09115,00000,00000,0,A,Brookside town,Colorado,233,232,232,233,239,238,239,242,248,254,257,261,262,261
162,08,000,09280,00000,00000,0,A,Broomfield city,Colorado,55889,55848,56212,57485,58971,60158,61791,64914,66596,68340,69431,70617,71878,72236
162,08,000,09555,00000,00000,0,A,Brush city,Colorado,5463,5465,5479,5511,5461,5435,5396,5407,5380,5383,5426,5428,5438,5438
162,08,000,10105,00000,00000,0,A,Buena Vista town,Colorado,2617,2582,2582,2609,2629,2672,2660,2704,2764,2843,2899,3052,3109,3116
162,08,000,10600,00000,00000,0,A,Burlington city,Colorado,4254,4254,4251,4105,4026,4238,3965,4175,3606,3153,3155,3148,3130,3126
162,08,000,11260,00000,00000,0,A,Calhan town,Colorado,780,780,785,797,805,809,810,814,826,832,839,831,829,827
162,08,000,11645,00000,00000,0,A,Campo town,Colorado,109,109,110,109,107,105,103,102,101,102,103,104,102,102
162,08,000,11810,00000,00000,0,A,Cañon City city,Colorado,16400,16410,16378,16315,16265,16025,15985,16010,16183,16259,16445,16470,16549,16536
162,08,000,12030,00000,00000,0,A,Carbonate town,Colorado,A,0,0,0,0,0,0,0,0,0,0,0,0,0
162,08,000,12045,00000,00000,0,A,Carbondale town,Colorado,6427,6453,6419,6398,6468,6486,6479,6521,6618,6610,6679,6684,6722,6729
162,08,000,12387,00000,00000,0,A,Castle Pines city,Colorado,A,10333,10368,10530,10675,10761,10829,10883,10782,10779,10765,10927,11486,11664
162,08,000,12415,00000,00000,0,A,Castle Rock town,Colorado,48231,48238,48793,50095,51592,53506,55999,58569,60194,62318,65005,67738,69893,70567
162,08,000,12635,00000,00000,0,A,Cedaredge town,Colorado,2253,2251,2245,2211,2208,2214,2176,2172,2206,2221,2254,2283,2311,2313
162,08,000,12815,00000,00000,0,A,Centennial city,Colorado,100377,100391,100294,101955,103522,105900,107202,108891,109694,111127,111351,111121,110457,110156
162,08,000,12855,00000,00000,0,A,Center town,Colorado,2230,2241,2251,2267,2315,2283,2267,2286,2342,2415,2442,2385,2381,2385
162,08,000,12910,00000,00000,0,A,Central City city,Colorado,663,660,663,657,658,669,696,703,716,719,727,736,732,730
162,08,000,13460,00000,00000,0,A,Cheraw town,Colorado,252,254,254,254,251,249,248,246,246,247,248,246,245,245
162,08,000,13845,00000,00000,0,A,Cherry Hills Village city,Colorado,5987,5987,6009,6134,6253,6376,6495,6632,6685,6719,6722,6676,6639,6620
162,08,000,14175,00000,00000,0,A,Cheyenne Wells town,Colorado,846,846,846,860,863,863,848,839,846,844,848,830,818,815
162,08,000,14765,00000,00000,0,A,City of Creede town,Colorado,290,290,286,288,290,297,286,303,309,307,316,309,316,315
162,08,000,15330,00000,00000,0,A,Coal Creek town,Colorado,343,345,344,343,342,336,334,334,339,341,344,348,350,350
162,08,000,15550,00000,00000,0,A,Cokedale town,Colorado,129,129,128,125,125,119,116,116,116,117,119,119,121,121
162,08,000,15605,00000,00000,0,A,Collbran town,Colorado,708,692,690,696,698,697,697,699,707,716,719,723,726,727
162,08,000,16000,00000,00000,0,A,Colorado Springs city,Colorado,416427,417450,420726,427587,433060,438540,442628,449963,459213,465920,473175,478035,481280,482131
162,08,000,16385,00000,00000,0,A,Columbine Valley town,Colorado,1256,1252,1251,1273,1295,1314,1327,1358,1410,1452,1492,1500,1508,1508
