SUMLEV,STATE,COUNTY,PLACE,COUSUB,CONCIT,PRIMGEO_FLAG,FUNCSTAT,NAME,STNAME,CENSUS2010POP,ESTIMATESBASE2010,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,POPESTIMATE2013,POPESTIMATE2014,POPESTIMATE2015,POPESTIMATE2016,POPESTIMATE2017,POPESTIMATE2018,POPESTIMATE2019,POPESTIMATE042020,POPESTIMATE2020
40,22,0,0,0,0,0,A,Louisiana,Louisiana,4533372,4533500,4544635,4576244,4602067,4626040,4645938,4666998,4681346,4673673,4664450,4658285,4650984,4645318
162,22,0,100,0,0,0,A,Abbeville city,Louisiana,12257,12225,12223,12181,12327,12383,12361,12365,12372,12256,12195,12061,11960,11927
162,22,0,240,0,0,0,A,Abita Springs town,Louisiana,2365,2360,2369,2403,2416,2432,2459,2474,2502,2532,2591,2626,2645,2651
162,22,0,415,0,0,0,A,Addis town,Louisiana,3593,3589,3633,3804,3984,4202,4453,4607,4898,5176,5420,6224,6405,6464
162,22,0,835,0,0,0,A,Albany town,Louisiana,1088,1115,1115,1119,1120,1122,1128,1134,1147,1141,1152,1157,1167,1170
162,22,0,975,0,0,0,A,Alexandria city,Louisiana,47723,47901,47946,48042,48066,48285,48104,47733,47494,46985,46528,46165,45746,45573
162,22,0,1885,0,0,0,A,Amite City town,Louisiana,4141,4133,4144,4179,4199,4254,4297,4340,4396,4438,4467,4464,4498,4510
162,22,0,1920,0,0,0,A,Anacoco village,Louisiana,869,875,881,874,906,883,871,846,844,827,797,784,780,777
162,22,0,2165,0,0,0,A,Angie village,Louisiana,251,248,247,249,247,245,245,246,246,249,250,247,247,246
162,22,0,2655,0,0,0,A,Arcadia town,Louisiana,2919,2981,2968,2949,2930,2881,2840,2844,2832,2789,2719,2700,2662,2648
162,22,0,3110,0,0,0,A,Arnaudville town,Louisiana,1057,1049,1051,1052,1054,1055,1061,1062,1067,1066,1057,1051,1043,1041
162,22,0,3145,0,0,0,A,Ashland village,Louisiana,269,269,268,268,268,266,267,267,267,267,264,261,259,260
162,22,0,3320,0,0,0,A,Athens village,Louisiana,249,305,304,300,298,294,287,284,282,276,274,270,266,265
162,22,0,3390,0,0,0,A,Atlanta village,Louisiana,163,163,163,161,160,157,156,154,153,150,147,145,144,144
162,22,0,3985,0,0,0,A,Baker city,Louisiana,13895,13688,13697,13664,13641,13616,13572,13492,13464,13341,13226,13116,13035,12999
162,22,0,4020,0,0,0,A,Baldwin town,Louisiana,2436,2434,2430,2410,2384,2379,2362,2343,2304,2244,2205,2190,2161,2150
162,22,0,4055,0,0,0,A,Ball town,Louisiana,4000,4003,4003,4008,4007,4012,4015,3997,4004,4007,3975,3959,3921,3906
162,22,0,4580,0,0,0,A,Basile town,Louisiana,1821,1821,1820,1814,1808,1810,1809,1808,1808,1809,1800,1799,1794,1791
162,22,0,4615,0,0,0,A,Baskin village,Louisiana,254,250,250,251,247,248,246,247,246,247,244,241,241,240
162,22,0,4685,0,0,0,A,Bastrop city,Louisiana,11365,11315,11264,11071,11000,10791,10726,10552,10373,10283,10114,9952,9754,9688
162,22,0,5000,0,0,0,B,Baton Rouge city,Louisiana,229493,229279,229239,228527,228805,228284,227815,227191,226712,224441,222379,220787,219630,219052
162,22,0,5945,0,0,0,A,Belcher village,Louisiana,263,263,264,265,265,262,261,259,256,253,249,248,246,245
162,22,0,6925,0,0,0,A,Benton town,Louisiana,1948,1976,1977,1981,2041,2086,2062,2054,2062,2081,2086,2094,2094,2092
162,22,0,7030,0,0,0,A,Bernice town,Louisiana,1689,1695,1697,1684,1660,1649,1651,1642,1640,1619,1604,1587,1590,1590
162,22,0,7100,0,0,0,A,Berwick town,Louisiana,4946,4946,4938,4902,4844,4844,4822,4772,4683,4548,4458,4414,4348,4324
162,22,0,7205,0,0,0,A,Bienville village,Louisiana,218,218,217,217,215,211,208,208,207,203,198,196,193,192
162,22,0,7730,0,0,0,A,Blanchard town,Louisiana,2899,2906,2915,2936,2945,2924,2941,2968,3165,3163,3161,3151,3127,3116
162,22,0,8150,0,0,0,A,Bogalusa city,Louisiana,12232,12251,12225,12193,12032,11923,11858,11824,11793,11779,11709,11552,11446,11412
